State,Democratic (Biden),Republican (Trump),Others,Total Votes
AL,849624,1441170,32488,2323282
AK,153778,189951,15801,359530
AZ,1672143,1661686,53497,3387326
AR,423932,760647,34490,1219069
CA,11110639,6006518,384223,17501380
CO,1804352,1364607,88021,3256980
CT,1080831,714717,28309,1823857
DE,296268,200603,7475,504346
DC,317323,18586,8447,344356
FL,5297045,5668731,101680,11067456
GA,2473633,2461854,64473,4999960
HI,366130,196864,11475,574469
ID,287021,554119,26794,867934
IL,3471915,2446891,114938,6033744
IN,1242498,1729857,60855,3033210
IA,759061,897672,34138,1690871
KS,570323,771406,32257,1373986
KY,772474,1326646,37648,2136768
LA,856034,1255776,36252,2148062
ME,435072,360737,23652,819461
MD,1985023,976414,75593,3037030
MA,2382202,1167202,81998,3631402
MI,2804040,2649852,85410,5539302
MN,1717077,1484065,76029,3277171
MS,539398,756764,17597,1313759
MO,1253014,1718736,54212,3025962
MT,244786,343602,15286,603674
NE,374583,556846,24954,956383
NV,703486,669890,32000,1405376
NH,424937,365660,15608,806205
NJ,2608400,1883313,57744,4549457
NM,501614,401894,20457,923965
NY,5244886,3251997,119978,8616861
NC,2684292,2758775,81737,5524804
ND,115042,235751,11231,362024
OH,2679165,3154834,88203,5922202
OK,503890,1020280,36529,1560699
OR,1340383,958448,75490,2374321
PA,3458229,3377674,101073,6936976
RI,307486,199922,10349,517757
SC,1091541,1385103,36685,2513329
SD,150471,261043,11095,422609
TN,1143711,1852475,57665,3053851
TX,5259126,5890347,165583,11315056
UT,560282,865140,62867,1488289
VT,242820,112704,11904,367428
VA,2413568,1962430,84526,4460524
WA,2369612,1584651,133368,4087631
WV,235984,545382,13365,794731
WI,1630866,1610184,56991,3298041
WY,73491,193559,9715,276765